150,3.361701965332031e-05
200,2.8371810913085938e-05
250,3.3855438232421875e-05
300,2.9325485229492188e-05
350,2.47955322265625e-05
400,1.9073486328125e-05
450,2.574920654296875e-05
500,2.5510787963867188e-05
550,2.7894973754882812e-05
600,2.5033950805664062e-05
650,3.170967102050781e-05
700,4.029273986816406e-05
750,2.9802322387695312e-05
800,3.3855438232421875e-05
850,3.457069396972656e-05
900,3.600120544433594e-05
950,4.0531158447265625e-05
1000,3.886222839355469e-05
1050,4.172325134277344e-05
1100,4.3392181396484375e-05
1150,5.14984130859375e-05
1200,0.00011539459228515625
